main.py --name=runs/googlenet/ --dataset=CIFAR10 --lr=0.001 --lr-decay-every=5 --momentum=0.9 --epochs=20 --batch-size=128 --pruning=True --seed=0 --model=googlenet --mgpu=False --group_wd_coeff=1e-8 --wd=0.0 --tensorboard=True --pruning-method=22 --data=/data/cifar-10-batches-py/ --no_grad_clip=True
network structure
Total pruning layers: 0
pruning_engine.load_mask(): did not find mask file, will load nothing
connect_gates_with_parameters_for_flops only supports resnet for now
learning rate adjusted: 0.001 1
Epoch: [1][0/390]	Time 1.975 (1.975)	Loss 8.9382 (8.9382)	Prec@1 0.000 (0.000)	Prec@5 0.781 (0.781)
Epoch: [1][10/390]	Time 0.206 (0.263)	Loss 7.8708 (8.4763)	Prec@1 0.781 (0.213)	Prec@5 1.562 (0.781)
Epoch: [1][20/390]	Time 0.211 (0.182)	Loss 6.2071 (7.7372)	Prec@1 3.125 (0.670)	Prec@5 11.719 (2.902)
Epoch: [1][30/390]	Time 0.209 (0.152)	Loss 4.8240 (7.0928)	Prec@1 17.188 (2.268)	Prec@5 42.188 (8.543)
Epoch: [1][40/390]	Time 0.205 (0.137)	Loss 4.1352 (6.4865)	Prec@1 19.531 (5.431)	Prec@5 55.469 (18.007)
Epoch: [1][50/390]	Time 0.209 (0.129)	Loss 3.3397 (5.9372)	Prec@1 30.469 (9.298)	Prec@5 75.781 (27.574)
Epoch: [1][60/390]	Time 0.210 (0.123)	Loss 2.7127 (5.4618)	Prec@1 33.594 (12.551)	Prec@5 82.031 (35.348)
Epoch: [1][70/390]	Time 0.210 (0.119)	Loss 2.4543 (5.0632)	Prec@1 32.031 (15.306)	Prec@5 85.156 (41.538)
Epoch: [1][80/390]	Time 0.209 (0.116)	Loss 2.2822 (4.7319)	Prec@1 31.250 (17.438)	Prec@5 77.344 (46.644)
Epoch: [1][90/390]	Time 0.213 (0.113)	Loss 2.0664 (4.4481)	Prec@1 36.719 (19.703)	Prec@5 82.812 (50.824)
Epoch: [1][100/390]	Time 0.209 (0.111)	Loss 1.8011 (4.2101)	Prec@1 43.750 (21.403)	Prec@5 90.625 (54.425)
Epoch: [1][110/390]	Time 0.209 (0.110)	Loss 1.8083 (4.0023)	Prec@1 44.531 (23.072)	Prec@5 90.625 (57.475)
Epoch: [1][120/390]	Time 0.210 (0.108)	Loss 1.6889 (3.8254)	Prec@1 50.000 (24.567)	Prec@5 90.625 (60.079)
Epoch: [1][130/390]	Time 0.209 (0.107)	Loss 1.7251 (3.6707)	Prec@1 46.875 (26.050)	Prec@5 89.062 (62.357)
Epoch: [1][140/390]	Time 0.210 (0.106)	Loss 1.7366 (3.5344)	Prec@1 45.312 (27.216)	Prec@5 90.625 (64.284)
Epoch: [1][150/390]	Time 0.210 (0.106)	Loss 1.4778 (3.4074)	Prec@1 46.875 (28.456)	Prec@5 94.531 (66.117)
Epoch: [1][160/390]	Time 0.211 (0.105)	Loss 1.4675 (3.2948)	Prec@1 51.562 (29.600)	Prec@5 93.750 (67.736)
Epoch: [1][170/390]	Time 0.210 (0.104)	Loss 1.5164 (3.1990)	Prec@1 50.781 (30.565)	Prec@5 88.281 (69.129)
Epoch: [1][180/390]	Time 0.213 (0.104)	Loss 1.2632 (3.1103)	Prec@1 58.594 (31.548)	Prec@5 92.969 (70.308)
Epoch: [1][190/390]	Time 0.209 (0.103)	Loss 1.5035 (3.0266)	Prec@1 50.781 (32.506)	Prec@5 93.750 (71.503)
Epoch: [1][200/390]	Time 0.210 (0.103)	Loss 1.5578 (2.9498)	Prec@1 44.531 (33.423)	Prec@5 89.844 (72.532)
Epoch: [1][210/390]	Time 0.210 (0.102)	Loss 1.4548 (2.8800)	Prec@1 52.344 (34.260)	Prec@5 91.406 (73.475)
Epoch: [1][220/390]	Time 0.210 (0.102)	Loss 1.4013 (2.8172)	Prec@1 53.125 (35.040)	Prec@5 92.969 (74.350)
Epoch: [1][230/390]	Time 0.209 (0.101)	Loss 1.4128 (2.7552)	Prec@1 53.906 (35.762)	Prec@5 92.188 (75.244)
Epoch: [1][240/390]	Time 0.209 (0.101)	Loss 1.3491 (2.6987)	Prec@1 55.469 (36.421)	Prec@5 94.531 (76.031)
Epoch: [1][250/390]	Time 0.209 (0.101)	Loss 1.4237 (2.6450)	Prec@1 47.656 (37.111)	Prec@5 94.531 (76.709)
