main.py --name=runs/googlenet/ --dataset=CIFAR10 --lr=0.001 --lr-decay-every=10 --momentum=0.9 --epochs=30 --batch-size=128 --pruning=True --seed=0 --model=googlenet --mgpu=False --group_wd_coeff=1e-8 --wd=0.0 --tensorboard=True --pruning-method=22 --data=/data/cifar-10-batches-py/ --no_grad_clip=True
network structure
Total pruning layers: 0
pruning_engine.load_mask(): did not find mask file, will load nothing
connect_gates_with_parameters_for_flops only supports resnet for now
learning rate adjusted: 0.001 1
Epoch: [1][0/390]	Time 1.942 (1.942)	Loss 8.9382 (8.9382)	Prec@1 0.000 (0.000)	Prec@5 0.781 (0.781)
Epoch: [1][10/390]	Time 0.214 (0.263)	Loss 7.9038 (8.4807)	Prec@1 0.781 (0.213)	Prec@5 1.562 (0.852)
Epoch: [1][20/390]	Time 0.207 (0.182)	Loss 6.2451 (7.7454)	Prec@1 3.125 (0.670)	Prec@5 10.156 (2.641)
Epoch: [1][30/390]	Time 0.213 (0.153)	Loss 4.8501 (7.1013)	Prec@1 17.969 (2.394)	Prec@5 39.844 (7.989)
Epoch: [1][40/390]	Time 0.209 (0.138)	Loss 4.2108 (6.5091)	Prec@1 16.406 (5.507)	Prec@5 53.125 (16.940)
Epoch: [1][50/390]	Time 0.212 (0.130)	Loss 3.3333 (5.9634)	Prec@1 30.469 (9.252)	Prec@5 71.875 (26.517)
Epoch: [1][60/390]	Time 0.211 (0.124)	Loss 2.5672 (5.4759)	Prec@1 32.812 (12.692)	Prec@5 78.125 (34.439)
Epoch: [1][70/390]	Time 0.211 (0.120)	Loss 2.4982 (5.0754)	Prec@1 29.688 (15.449)	Prec@5 83.594 (40.735)
Epoch: [1][80/390]	Time 0.211 (0.116)	Loss 2.1916 (4.7393)	Prec@1 42.188 (17.757)	Prec@5 79.688 (45.901)
Epoch: [1][90/390]	Time 0.211 (0.114)	Loss 2.0989 (4.4547)	Prec@1 34.375 (19.806)	Prec@5 82.031 (50.455)
Epoch: [1][100/390]	Time 0.210 (0.112)	Loss 1.7845 (4.2181)	Prec@1 43.750 (21.558)	Prec@5 89.844 (53.999)
Epoch: [1][110/390]	Time 0.211 (0.110)	Loss 1.8730 (4.0085)	Prec@1 35.938 (23.177)	Prec@5 90.625 (57.172)
Epoch: [1][120/390]	Time 0.213 (0.109)	Loss 1.7664 (3.8309)	Prec@1 46.094 (24.626)	Prec@5 89.062 (59.782)
