main.py --name=runs/googlenet/ --dataset=CIFAR10 --lr=0.001 --lr-decay-every=5 --momentum=0.9 --epochs=30 --batch-size=128 --pruning=True --seed=0 --model=googlenet --mgpu=False --group_wd_coeff=1e-8 --wd=0.0 --tensorboard=True --pruning-method=22 --data=/data/cifar-10-batches-py/ --no_grad_clip=True
network structure
Total pruning layers: 0
pruning_engine.load_mask(): did not find mask file, will load nothing
connect_gates_with_parameters_for_flops only supports resnet for now
learning rate adjusted: 0.001 1
Epoch: [1][0/390]	Time 1.950 (1.950)	Loss 8.9382 (8.9382)	Prec@1 0.000 (0.000)	Prec@5 0.781 (0.781)
Epoch: [1][10/390]	Time 0.213 (0.265)	Loss 7.9012 (8.4801)	Prec@1 0.781 (0.213)	Prec@5 1.562 (0.852)
Epoch: [1][20/390]	Time 0.215 (0.184)	Loss 6.2168 (7.7420)	Prec@1 2.344 (0.632)	Prec@5 8.594 (2.641)
Epoch: [1][30/390]	Time 0.214 (0.156)	Loss 4.8535 (7.0921)	Prec@1 18.750 (2.369)	Prec@5 42.969 (7.964)
Epoch: [1][40/390]	Time 0.216 (0.141)	Loss 4.1260 (6.5004)	Prec@1 19.531 (5.488)	Prec@5 52.344 (16.673)
Epoch: [1][50/390]	Time 0.215 (0.132)	Loss 3.2843 (5.9524)	Prec@1 29.688 (9.314)	Prec@5 77.344 (26.486)
Epoch: [1][60/390]	Time 0.217 (0.126)	Loss 2.5834 (5.4697)	Prec@1 32.031 (12.269)	Prec@5 78.125 (34.529)
Epoch: [1][70/390]	Time 0.213 (0.122)	Loss 2.5995 (5.0720)	Prec@1 31.250 (14.888)	Prec@5 81.250 (40.922)
Epoch: [1][80/390]	Time 0.215 (0.119)	Loss 2.2034 (4.7359)	Prec@1 38.281 (17.380)	Prec@5 78.906 (46.123)
Epoch: [1][90/390]	Time 0.213 (0.116)	Loss 2.0962 (4.4504)	Prec@1 39.062 (19.677)	Prec@5 83.594 (50.446)
Epoch: [1][100/390]	Time 0.213 (0.114)	Loss 1.8195 (4.2146)	Prec@1 43.750 (21.511)	Prec@5 89.062 (54.061)
Epoch: [1][110/390]	Time 0.217 (0.113)	Loss 1.8144 (4.0045)	Prec@1 39.844 (23.304)	Prec@5 92.969 (57.242)
Epoch: [1][120/390]	Time 0.214 (0.111)	Loss 1.7464 (3.8252)	Prec@1 45.312 (24.787)	Prec@5 91.406 (59.801)
Epoch: [1][130/390]	Time 0.215 (0.110)	Loss 1.7183 (3.6682)	Prec@1 46.875 (26.294)	Prec@5 91.406 (62.017)
Epoch: [1][140/390]	Time 0.214 (0.109)	Loss 1.7273 (3.5311)	Prec@1 46.094 (27.482)	Prec@5 89.062 (63.985)
Epoch: [1][150/390]	Time 0.217 (0.108)	Loss 1.4734 (3.4028)	Prec@1 50.781 (28.710)	Prec@5 96.875 (65.780)
Epoch: [1][160/390]	Time 0.213 (0.107)	Loss 1.5941 (3.2921)	Prec@1 45.312 (29.726)	Prec@5 91.406 (67.382)
Epoch: [1][170/390]	Time 0.216 (0.107)	Loss 1.5906 (3.1947)	Prec@1 44.531 (30.647)	Prec@5 88.281 (68.782)
Epoch: [1][180/390]	Time 0.212 (0.106)	Loss 1.3035 (3.1050)	Prec@1 57.031 (31.664)	Prec@5 93.750 (70.002)
Epoch: [1][190/390]	Time 0.209 (0.105)	Loss 1.4065 (3.0228)	Prec@1 54.688 (32.547)	Prec@5 94.531 (71.122)
Epoch: [1][200/390]	Time 0.211 (0.105)	Loss 1.4903 (2.9465)	Prec@1 44.531 (33.396)	Prec@5 92.188 (72.151)
Epoch: [1][210/390]	Time 0.212 (0.104)	Loss 1.4147 (2.8769)	Prec@1 53.906 (34.257)	Prec@5 90.625 (73.089)
Epoch: [1][220/390]	Time 0.213 (0.104)	Loss 1.4103 (2.8138)	Prec@1 54.688 (35.025)	Prec@5 92.188 (73.943)
